code,class,source,in_core48,rows,first_date,last_date,tail60_avg_amount,L1,L2,H1,F1,twin_overlap_rows,twin_close_mismatches,twin_pref_first_date
513320,跨境ETF,prefixed,False,1096,2022-03-21,2026-09-22,15586322.816666666,False,False,True,True,,,
513330,跨境ETF,prefixed,False,1363,2021-02-08,2026-09-22,1903677326.7333333,True,True,True,True,,,
513350,跨境ETF,prefixed,False,684,2023-11-28,2026-09-22,1186622970.45,True,True,True,True,,,
513360,跨境ETF,prefixed,False,1279,2021-06-17,2026-09-22,66776546.53333333,True,True,True,True,,,
513380,跨境ETF,prefixed,False,1063,2022-05-12,2026-09-22,218550451.3,True,True,True,True,,,
513390,跨境ETF,prefixed,False,823,2023-05-08,2026-09-22,157403651.16666666,True,True,True,True,,,
513400,跨境ETF,prefixed,False,638,2024-02-02,2026-09-22,251617750.28333333,True,True,True,True,,,
513500,跨境ETF,bare,True,1630,2020-01-02,2026-09-22,365039722.1,True,True,True,True,1630.0,0.0,2014-01-15
513520,跨境ETF,bare,True,1631,2020-01-02,2026-09-22,349305319.6166667,True,True,True,True,1631.0,0.0,2019-06-25
513530,跨境ETF,prefixed,False,1073,2022-04-25,2026-09-22,248863196.8,True,True,True,True,,,
513550,跨境ETF,prefixed,False,1381,2021-01-13,2026-09-22,52322285.45,True,True,True,True,,,
513560,跨境ETF,prefixed,False,879,2023-02-13,2026-09-22,42310114.36666667,True,False,True,True,,,
513580,跨境ETF,prefixed,False,1294,2021-05-27,2026-09-22,99479088.46666667,True,True,True,True,,,
513590,跨境ETF,prefixed,False,1235,2021-08-19,2026-09-22,3640524.1166666667,False,False,True,True,,,
513600,跨境ETF,prefixed,False,2834,2015-01-26,2026-09-22,126317640.36666666,True,True,True,True,,,
513620,跨境ETF,prefixed,False,91,2026-05-18,2026-09-22,39961309.583333336,True,False,False,True,,,
513630,跨境ETF,prefixed,False,677,2023-12-08,2026-09-22,347972628.8833333,True,True,True,True,,,
513650,跨境ETF,prefixed,False,843,2023-04-04,2026-09-22,283371339.4166667,True,True,True,True,,,
513660,跨境ETF,prefixed,False,2832,2015-01-26,2026-09-22,95497223.83333333,True,True,True,True,,,
513690,跨境ETF,prefixed,False,1299,2021-05-20,2026-09-22,171068921.25,True,True,True,True,,,
513700,跨境ETF,prefixed,False,1244,2021-08-06,2026-09-22,146934736.4,True,True,True,True,,,
513720,跨境ETF,prefixed,False,172,2026-01-09,2026-09-22,23915509.733333334,True,False,False,True,,,
513730,跨境ETF,prefixed,False,682,2023-12-01,2026-09-22,26331524.233333334,True,False,True,True,,,
