name,family,exit_regime,status,n_trades,oos_trades,annual_return,sharpe,max_drawdown,win_rate,oos_sharpe,oos_annual_return,oos_max_drawdown,i_bar,vi_bar,g1_pass,sleeve_tag,x2_full_sharpe,x2_oos_sharpe,max_corr,note
rand_default_p0.05_s35,random_baseline,default,ok,280,81,0.0021,0.1242,-0.0506,0.5321,-0.4147,-0.0095,-0.0506,,,False,,,,,p=0.05 seed=30035
rand_default_p0.05_s36,random_baseline,default,ok,266,76,0.003,0.1999,-0.0414,0.4925,-0.0414,-0.0009,-0.034,,,False,,,,,p=0.05 seed=30036
rand_default_p0.05_s37,random_baseline,default,ok,265,85,0.0029,0.1862,-0.04,0.4642,0.7261,0.0165,-0.0216,,,False,,,,,p=0.05 seed=30037
rand_default_p0.05_s38,random_baseline,default,ok,271,77,0.0064,0.3989,-0.0496,0.4982,0.9854,0.0196,-0.0207,,,False,,,,,p=0.05 seed=30038
rand_default_p0.05_s39,random_baseline,default,ok,263,85,0.0004,0.0332,-0.0398,0.4829,0.0769,0.0014,-0.0398,,,False,,,,,p=0.05 seed=30039
rand_default_p0.05_s40,random_baseline,default,ok,277,84,0.0086,0.568,-0.0327,0.5235,0.5858,0.0107,-0.0291,,,False,,,,,p=0.05 seed=30040
rand_default_p0.05_s41,random_baseline,default,ok,250,77,0.0056,0.385,-0.0343,0.552,0.7379,0.0139,-0.0179,,,False,,,,,p=0.05 seed=30041
rand_default_p0.05_s42,random_baseline,default,ok,253,84,0.0006,0.043,-0.0432,0.4941,0.0554,0.0009,-0.0432,,,False,,,,,p=0.05 seed=30042
rand_default_p0.05_s43,random_baseline,default,ok,262,74,0.0077,0.5155,-0.0304,0.5305,0.7395,0.0128,-0.0228,,,False,,,,,p=0.05 seed=30043
rand_default_p0.05_s44,random_baseline,default,ok,276,87,0.0085,0.5754,-0.0335,0.5399,0.4095,0.0067,-0.0223,,,False,,,,,p=0.05 seed=30044
rand_default_p0.05_s45,random_baseline,default,ok,272,78,0.0098,0.613,-0.0251,0.5257,0.3694,0.0076,-0.0212,,,False,,,,,p=0.05 seed=30045
rand_default_p0.05_s46,random_baseline,default,ok,273,86,0.0022,0.148,-0.0306,0.4982,0.4682,0.0099,-0.0306,,,False,,,,,p=0.05 seed=30046
